title,projectUrl,acronym,return_code,redirect_url
IMPLEMENTING SECURE HEALTHCARE TELEMATICS APPLICATIONS IN EUROPE,http://ted.see.plym.ac.uk/ishtar/,ISHTAR,[Errno -2] Name or service not known,
MULTIMEDIA OPTIMISATION AND DEMONSTRATION FOR EDUCATION IN MICROELECTRONICS,http://nmrc.ucc.ie/modem,MODEM,404,
LEARNING AND INFORMATION SUPPORT NETWORKS IN EUROPE FOR SOCRATES,http://lines.uwic.ac.uk,LINES,[Errno -2] Name or service not known,
KNOWLEDGE ASSURANCE IN MULTIMEDIA PUBLISHING,http://kamp.linst.ac.uk,KAMP,[Errno -2] Name or service not known,
INTEGRATION OF DEDICATED FOR ADVANCED TRAINING LINKED TO SMALL AND MEDIUM ENTERPRISES AND INSTITUTES OF HIGHER EDUCATION,http://ideals.zgdv.de,IDEALS,[Errno -2] Name or service not known,
"ELECTRONIC LEARNING ENVIRONMENT FOR CONTINUAL TRAINING AND RESEARCH IN ALMA (AACHEN, LIEGE, MAASTRICHT AND DIEPENBEEK/HASSELT)",http://www.unimaas.nl/~electra,ELECTRA,404,
EUROPEAN EDUCATIONAL TELEPORTS,http://www.trainet.it/home/uk/eetp/,EETP,timed out,
MULTIMEDIA INTERACTION WITH REGIONAL AND TRANSNATIONAL ORGANISATIONS,http://www.roma.otm.it,MIRTO,200,
EUROPEAN BUSINESS REGISTER PHASE 2,http://www.ebr.org/,EBR II,200,
Environmental Monitoring Warning & Emergency System,http://www.impetus.gr/envisys.htm,ENVISYS,404,
HEALTHCARE ADVANCED NETWORKED SYSTEM ARCHITECTURE,http://www.effedue.com/hansa/,HANSA,[Errno -2] Name or service not known,
TRAINING NETWORK FOR THE EUROPEAN CAR INDUSTRY,http://tecar.condat.de,TECAR,[Errno -2] Name or service not known,
JOINT ATM EXPERIMENT ON EUROPEAN SERVICES,http://www.labs.bt.com/profsoc/james/,JAMES-RN,timed out,
TRANS-EUROPEAN NETWORK INTERCONNECT AT 34 MBPS,http://193.63.211.20/ten-34.html,TEN-34,timed out,
SUPPORT FOR TELEMATICS APPLICATIONS COOPERATION WITH THE COMMONWEALTH OF INDEPENDENT STATES,http://www.ednes.org/staccis/,STACCIS,[Errno -2] Name or service not known,
SUPPORT FOR THE USE OF PRESENTLY UNSERVED AIRSPACE,http://www.ceselsa.es/supra/,SUPRA,[Errno -2] Name or service not known,
Comparative analysis of food webs based on flow networks: Effects of nutrient supply on structure and function of coastal plankton communities,http://www.maricult.org/public/comweb/,COMWEB,404,
Physical Forcing and Biogeochemical Fluxes in Shallow Coastal Ecosystems,http://www.nioo.knaw.nl/cemo/phase/phase.htm,PHASE,404,
Ocean Margin EXchange II - Phase I,http://www.nbi.ac.uk/bodc/omex.html,OMEX II,404,
Nitrogen Cycling in Estuaries,http://www.dmu.dk/lakeandestuarineecology/NICE/,NICE,200,
Changes in Bacterial Diversity and Activity in Mediterranean Coastal Waters as Affected by Eutrophication,http://www.gbf-braunschweig.de/DSMZ/Chabada/Chabada.html,CHABADA,[Errno 111] Connection refused,
VALIDATION OF THE BIOTECHNOLOGICAL PROCESS AND PRODUCTION OF A FIRST LOT OF SAMPLES FOR CLINICAL TRIALS,http://www.medac.de,KINASE,307,http://www.medac.de/startseite/
INTERREGIONAL PLAN FOR THE VALORIZATION OF SLUDGES ORIGINATED BY WASTEWATER TREATMENT IN THE SAAR-LOR-LUX-REGION USING QUALIFIED COMPOST,http://siden@pt.lu,SOIL-CONCEPT,[Errno -2] Name or service not known,
DEMONSTRATION OF ECONOMIC AND RELIABLE MANUFACTURING PROCESSES FOR MULTICHIP MODULES USING INNOVATIVE COFIRING CERAMICS,http://www.siegert.de,DECCO,200,
Computational tools and industrial applications of complexity,http://solvayins.ulb.ac.be/,CTIAC,[Errno -2] Name or service not known,
Europort dissemination and demonstration,http://www.gmd.de/SCAI/europort/,EUROPORT-D,403,
Trans-European network interconnect at 34-155 mbps,http://www.dante.net/ten-34.html,TEN-34,404,
Virtual interactive studio television application using networked graphical supercomputers,http://www.edc.nl/vista/index.html,VISTA,301,http://www.edc-internet.nl/nl/
Virtual enterprise using groupware tools and distributed architecture,http://cic.cstb.fr/ILC/ecprojec/vega/home.htm,VEGA,timed out,
Enterprise wide standard access to step distributed databases,http://cic.cstb.fr/ILC/ECPROJEC/RISESTEP/home.HTM,RISESTEP,timed out,
Pilot implementation of process plant lifecycle,http://www.stepcom.ncl.ac.uk/pippin/,PIPPIN,[Errno -2] Name or service not known,
Paradigm independent shop control for smaller manufacturing sites,http://www.sln.ahlstrom.com/infopaso.htm,PASO,[Errno -2] Name or service not known,
Objects for critical business applications,http://www.softwareag.com,OCBA,301,http://www.softwareag.com/corporate/default.asp
Systems engineering data representation and exchange standardisation,http://www.ncl.ac.uk/cbcb/,SEDRES,200,
Web information repository for the enterprise,http://www.opengroup.org/,WIRE,200,
Methods and tool support for the evolution and re engineering of legacy systems,http://www.comp.lancs.ac.uk/computing/research/cseg/projects/renaissance/RenaissanceWeb/,RENAISSANCE,301,http://www.lancaster.ac.uk/scc/
Automatic feature extraction for efficient retrieval in large multimedia database,http://www.txt.it/formula,FORMULA,404,
Web for schools,http://wfs.vub.ac.be/index.html,WFS,timed out,
Management business administration toolbox,http://www.kdubiq.org/,MBA TOOLBOX,timed out,
CONCERTATION CO-ORDINATION,http://concord.cscdc.be/index.php3,CONCORD 1,[Errno -2] Name or service not known,
SUPPORT AND CO-ORDINATION FOR INTEGRATED MULTIMEDIA TELEMATICS APPLICATIONS FOR RESEARCHERS,http://www.scimitar.terena.nl/scimitar/,SCIMITAR,302,https://www.scimitar.terena.nl/scimitar/
INTEGRATED MULTIMEDIA SERVICES VIA A REGIONAL TELEMATICS INFORMATION SYSTEM,http://www.regionet.org/,REGIONET,[Errno -2] Name or service not known,
Planning small medium enterprise networks,http://www.maths.nottingham.ac.uk/mmbnott/,PLENT,302,http://www.nottingham.ac.uk/cmmb/index.aspx
European LSE wide integration support effort,http://www.lboro.ac.uk/elsewise/,ELSEWISE,200,
Quality engineering tools for assembly and small batches manufacturing,http://lms.mech.upatras.gr/Projects/queta/introduction.html,QUETA,404,
Sensor fused intelligent monitoring system for machining,http://www.fluaid.eu/,SIMON,timed out,
Physical design automation on mixed semi-custom arrays,http://www.cecam.org/,SOGROUTE,200,
Best practice in electronic design,http://www.marsci.uga.edu/FacultyPages/Joye/research/coastal.htm,ENPROCO,404,
"Design of an interface ASIC for RISC systems using a VHDL based ""independent"" environment",http://www.ruhr-uni-bochum.de/novobrain/,MLS,200,
Europractice,http://www.smithsys.co.uk/europractice/,EUROPRACTICE,301,http://www.smithsys.co.uk/
"Advanced Technology to Optimize Maritime Operational Safety, Integration & Interface",http://www.atomos.org/,ATOMOS II,200,
Mediterranean Targeted Project II-Mass Transfer and Ecosystem Response,http://www.cetiis.fr/mtp/mater/,MTP-II MATER,[Errno 111] Connection refused,
New multimedia services using analysis synthesis 3d,http://tco8.thomson-csf.fr,NEMESIS,[Errno 111] Connection refused,
Development of a step based environment for the manufacturer customer integration in furniture industry,http://www.uninova.pt/funstep,FUNSTEP,404,
Advanced configuration management system,http://www.ait.org.uk/,ADCOMS,200,
An environment for a virtual hypermedia factory,http://jupiter.cib.na.cnr.it:8080/,VHF,[Errno -2] Name or service not known,
Mediterranean multimedia-multimedia support centre for culture arts,http://www.mcube.org,MCUBE,200,
Software product advanced certification and evaluation - user focus,http://www.brameur.co.uk/qpi,SPACE - UFO,Server Error,
Manufacturing team information system,http://www.fir.rwth-aachen.de/pm/projekte/mantis.html,MANTIS,404,
Development of VUV phosphors for large colour plasma display panels,http://ceder.jrc.ec.europa.eu,PHOSPAP,[Errno -5] No address associated with hostname,
User oriented production support in distributed shop floor environments,http://www.biosafety-europe.eu/,UPSIDE,[Errno -2] Name or service not known,
Logistices to support continuous improvement for SMES in the virtual enterprise,http://cimru.ucg.ie/projects/logsme/logsme.html,LOGSME,404,
Generic approach to manufacturable optoelectronic interconnects for VSLI circuits,http://www.intec.rug.ac.be/Research/,OIIC,timed out,
Smart pixel optoelectronic connections,http://www.phy.hw.ac.uk/resrev/SPOEC/,SPOEC,404,
Effective integration of fine grain parallelism exploitation and multiprogramming,http://www.ac.upc.es/hpc/nanos,NANOS,timed out,
Operating system support for distributed multimedia,http://www.cl.cam.ac.uk/Research/SRG/pegasus/,PEGASUS II,301,http://www.cl.cam.ac.uk/research/srg/pegasus/
Multimedia user services and techniques,http://www.simvia2.eu,MUST,timed out,
Implementation of a central repository to support effective configuration management,http://umr-bgpi.cirad.fr/equipes/equipe3.htm,IMPROVE-CM,200,
Component information representation European project,http://www.codus.co.uk/CIREP,CIREP,404,
3d multimedia support centre,http://www.3dscanners.com,3DMSC,302,http://ww1.3dscanners.com/
Seamlessly integrating multimedia in building automation,http://simba.tac.se/,SIMBA,[Errno -2] Name or service not known,
Methodology and set of tools for the improvement of machine tool automation,http://www.fatronik.com,AUTOMAT,200,
A multimedia pilot centre for electronic commerce based on the Echangeur,http://www.echangeur.fr,COMMERCE & INT,200,
Multimedia environment for distributed interactive applications of promotional and advertising shop systems,http://www.ecs.net/dmi,MEDIA PASS,404,
Co-operative requirements engineering with scenarios,http://sunsite.informatik.rwth-aachen.de/CREWS/,CREWS,200,
MULTI-MEDIA AGENT BASED INTERACTIVE CATALOGUES,http://arti.vub.ac.be/www/magica,MAGICA,404,
PRODUCT CATALOGUES IN THE GLOBAL ENGINEERING NETWORK,http://www.c-lab.de/gen/,PROCAT-GEN,404,
WORK AND TRAINING INFORMATION SYSTEM,http://www.vdab.be,WATIS,302,https://www.vdab.be/start
MULTIMEDIA AS BUSINESS OPTION FOR LOCAL NEWSPAPERS,http://www.iao.fhg.de/Projects/MBLN/,MBLN,302,https://www.iao.fraunhofer.de/lang-de/
FAST AND ACCURATE CATEGORISATION OF INFORMATION BY LANGUAGE ENGINEERING,http://www.quinary.it/facile/index.htm,FACILE,500,
REAL WORLD APPLICATIONS OF ROBUST DIALOGUE,http://www.kom.auc.dk/CPK/Speech/Reward/,REWARD,404,
OPEN TRANSLATION ENVIRONMENT FOR LOCALIZATION,http://www.otelo.lu/,OTELO,[Errno -2] Name or service not known,
SPEECH DATABASES FOR CREATION OF VOICE DRIVEN TELESERVICES,http://www.phonetik.uni-muenchen.de/SpeechDat.html,SPEECHDAT,404,
INTERLINGUISTIC TERMINOLOGY VALIDATION,http://www.mcs.surrey.ac.uk/interval/,INTERVAL,[Errno 113] No route to host,
Basic research on advanced distributed computing: from algorithms to systems WG,http://www.newcastle.research.ec.org/broadcast-wg/,BROADCAST-WG,302,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org
Interconnection of European research and university networks at 34-155 mbit/s,http://www.labs.bt.com/profsoc/james/,JAMES-RN,timed out,
High performance protocol architecture,http://www.inria.fr/rodeo/personnel/Christophe.Diot/me.html,HIPPARCH,404,
Dynamic of Matter Transfer and Biogeochemical Cycles: Their Modelling in Coastal Systems of the Mediterranean Sea,http://erato.fl.ariadne-t.gr/metromed/,METRO-MED,[Errno -2] Name or service not known,
Electronic Library Image Service for Europe - Phase II,http://severn.dmu.ac.uk/elise/,ELISE II,404,
"Large Scale Demonstrators for Global, Open Distributed Library Services",http://www.fdgroup.co.uk/research/universe,UNIVERSE,[Errno -5] No address associated with hostname,
Library Integrated System for Telematics-based Education,http://www.itpoint.org.uk/listed.html,LISTED,408,
European Language Resource Association,http://www.icp.grenet.fr/ELRA/home.html,ELRA,[Errno -2] Name or service not known,
AN OPEN WORKBENCH FOR MULTILINGUAL DOCUMENT CREATION AND MAINTENANCE,http://www.crpcu.lu/APOLLO/,APOLLO,[Errno -2] Name or service not known,
TESTBED LINGUANET,http://www.cbs.dk/departments/fir/linguanet/,LINGUANET,404,
"A MULTILINGUAL CONTINUOUS VIDEO DISCLOSING TOOL, BASED ON SUBTITLE INDEXING AND PARTIAL TRANSLATION",http://pop-eye.tros.com/,POP-EYE,[Errno -2] Name or service not known,
SERVICES AND ASSISTANCE FOR SMALL AND MEDIUM SIZED ENTERPRISES ON THE INFORMATION HIGHWAY,http://www.wk.or.at/sme-web/,SME-WEB,[Errno -2] Name or service not known,
Canary Islands Azores Gibraltar Observation,http://www.marine.ie/datacentre/projects/canigo/,CANIGO,404,
DIFFUSION OF TOOLS AIMED AT THE SIMULATION OF MOULDING MATERIAL FLOW IN SMES BELONGING TO THE MOULD MAKERS SECTOR IN THE EUROPEAN UNION,http://www.aster.it,SIM-MOULD,302,http://www.aster.it/tiki-index.php
"ORAL SPAWNING INDUCTION FISH. NON INVASIVE CONTROL OF REPRODUCTION IN FISH BY DIETARY DELIVERY OF THE BIOACTIVE PEPTIDE ""GNRH""",http://www.kuleuven.ac.be,,301,http://www.kuleuven.be/kuleuven/crisis
SUBSTITUTION OF MINERAL OIL BASED CONCRETE MOULD RELEASE AGENTS BY NON-TOXIC VEGETABLE RELEASE AGENTS,http://www.chem.uva.nl/cw,SUMOVERA,[Errno -2] Name or service not known,
COMPUTERS TO SCREEN,http://www.keraben.com,,302,http://www.keraben.com/
A COST EFFECTIVE BIOMETRIC FOR SECURITY APPLICATIONS USING INFRA-RED VEIN IMAGING WITH CONVENTIONAL COMPUTING PLATFORMS,http://www.pronovus.org.uk,VEIN BIOMETRIC,[Errno -2] Name or service not known,
TRANSFER OF COMPUTERISED AGRO PREWARNING SYSTEMS TO THE SOUTH EUROPEAN ENVIRONMENT,http://www.adcon.com,TOCAP SOUTH,303,http://www.adcon.com/index.php?lang=en
SUPRA-NATIONAL INTRODUCTION OF COMPUTER-AIDED ENVIRONMENTAL MANAGEMENT AND INFORMATION SYSTEMS TO NEW INDUSTRIAL SECTORS AND USERS,http://www.bane.dk,CAEMIS,302,http://www.bane.dk/visForside.asp?artikelID=4268
IMPLEMENTATION OF A FLASH-EEPROM TECHNOLOGY FOR DEMAND DRIVEN EMBEDDED APPLICATIONS,http://www.thesys.de,IEDEA,404,
TOOLS FOR ANALYSIS OF SERIAL SECTIONS IN MICROSCOPY,http://dibe.unige.it/TASTY,TASTY,[Errno -5] No address associated with hostname,
TRANSFER OF AN INNOVATIVE SENSOR TECHNOLOGY TO A COMBINED SENSOR AND FILTERING SYSTEM IN ORDER TO PROTECT FARMERS FROM PESTICIDES,http://members.aol.com/etrrump/welcome.html,AGRASENS,418,
Integrated Library and Survey-data Extraction Service,http://www.gamma.rug.nl/ilses,ILSES,[Errno -2] Name or service not known,
The European Legislative Virtual Library,http://www.sub.su.se/sam/elvil.htm,ELVIL,404,
SCANDINAVIAN PROOFREADING TOOLS,http://www.scarrie.com,SCARRIE,200,
SHARING CULTURAL HERITAGE THROUGH MULTIMEDIA TELEMATICS,http://aqua.inria.fr/,AQUARELLE,[Errno -2] Name or service not known,
INFORMATION ENGINEERING SUPPORT SERVICES PROJECT,http://inf2.pira.co.uk/,IESERV,[Errno -2] Name or service not known,
BASELINE DATA FOR USER VALIDATION IN INFORMATION ENGINEERING,http://www.ucc.ie/hfrg/baseline/,BASELINE,200,
INFORMATION ENGINEERING USABILITY SUPPORT CENTRES,http://www.npl.co.uk/npl/cise/hci,INUSE,301,http://www.npl.co.uk/category/2095
NETWORKED SOCIAL SCIENCE TOOLS AND RESOURCES,http://dawww.essex.ac.uk/projects/nesstar,NESSTAR,[Errno -2] Name or service not known,
GEOGRAPHICAL MEDIATION SYSTEM,http://www.pisa.intecs.it/projects/GeoMed/,GEOMED,[Errno -2] Name or service not known,
EFFICIENT USAGE OF REMOTE AND ONLINE PUBLICATION OF MULTI-MEDIA MATERIAL,http://www.fernuni-hagen.de/EuropeMMM,EUROPE-MMM,404,
DEVELOPING CRITICAL SUPPORT TOOLS FOR MULTIMEDIA PUBLISHING,http://www.sisu.se/projects/mmbroker,MULTIMEDIA BROKER,404,
Linking Publishers and National Bibliographic Services,http://hosted.ukoln.ac.uk/biblink/,BIBLINK,[Errno -2] Name or service not known,
Integrated Library Information Education and Retrieval System,http://www.hillkomm.dk/bibliotek/adm/iliers/default.htm,ILIERS,[Errno -2] Name or service not known,
Libraries: Electronic Remote Access to Information over Networks,http://www.iicm.edu/liberation/,LIBERATION,404,
TRans European Employment,http://www.mari.co.uk/tree/,TREE,404,
MULTILINGUAL AUTHORING OF BUSINESS LETTERS,http://www.mari.co.uk/mable/,MABLE,404,
MULTILINGUAL APPLICATION INTERFACE FOR TELEMATIC SERVICES,http://wwwold.dkuug.dk/maits/,MAITS,404,
MULTILINGUAL PRODUCTION OF WEATHER FORECASTS,http://www.erli.fr/erli/Erli/Projects/Enmm.htm,MULTIMETEO,[Errno -2] Name or service not known,
REPAIRING ERRORS IN COMPUTER AIDED LANGUAGE LEARNING,http://www.infj.ulst.ac.uk:80/~recall/,RECALL,404,
AUTOMATED CALL CENTER THROUGH SPEECH UNDERSTANDING SYSTEM,http://www.wcl.ee.upatras.gr/access/access.htm,ACCESS,timed out,
CALLER VERIFICATION IN BANKING AND TELECOMMUNICATIONS,http://www.ptt-telecom.nl/cave/,CAVE,[Errno -2] Name or service not known,
SPEECH RECOGNITION FOR DATA-ENTRY APPLICATIONS,http://poseidon.itc.it:7117/~voce/SPEEDATA/HomePage.html,SPEEDATA,[Errno -2] Name or service not known,
EXTRACTION OF CONTENT: RESEARCH AT NEAR-MARKET,http://www.dcs.shef.ac.uk/research/ilash/Ecran/,ECRAN,404,
SHALLOW PARSING AND KNOWLEDGE EXTRACTION FOR LANGUAGE ENGINEERING,http://www.ilc.pi.cnr.it/sparkle.html,SPARKLE,[Errno -2] Name or service not known,
ADVANCED INFORMATION SYSTEM FOR MULTINATIONAL DRUG ENFORCEMENT,http://www.dcs.shef.ac.uk/research/groups/nlp/funded/aventinus.html,AVENTINUS,404,
DIGITAL HANDLING AND DISTRIBUTION OF PERSONALIZED PRESS CLIPPINGS,http://www.axime.com/edito/,EDITO,timed out,
Types,http://www.cs.chalmers.se/~smith/systems.html,TYPES,301,http://www.chalmers.se/sv/institutioner/cse/Sidor/default.aspx
AWARENESS AND DISSEMINATION ACTIONS ON QUALTY MANAGEMENT AND INFORMATION TECHNOLOGIES,http://www.biba.uni-bremen.de/projects/quid,QUID,403,
THE EUROPEAN LANGUAGE RESOURCES ASSOCIATION,http://www.icp.grenet.fr/ELRA/home.html,ELRA,[Errno -2] Name or service not known,
Variability of exchanges in the northern seas,http://www.ifm.uni-hamburg.de/~veins/,VEINS,404,
ADVANCED SPEECH TECHNOLOGIES FOR VOICE OPERATED DRIVER INFORMATION SYSTEMS,http://werner.ira.uka.de/VODIS/,VODIS,[Errno -2] Name or service not known,
BUILDING A MULTILINGUAL WORDNET DATABASE WITH SEMANTIC RELATIONS BETWEEN WORDS,http://www.let.uva.nl/~ewn/,EUROWORDNET,[Errno -2] Name or service not known,
LANGUAGE ENGINEERING - PREPARATORY ACTION FOR LINGUISTIC RESOURCES ORGANIZATION FOR LANGUAGE ENGINEERING,http://www.ilc.pi.cnr.it/parole/parole.html,LE-PAROLE,[Errno -2] Name or service not known,
EUROPEAN OPPORTUNITY MAPPING,http://www.anite-systems.lu/euromap/,EUROMAP,[Errno -2] Name or service not known,
Network of excellence in evolutionary computing,http://www.mrc-immune.bham.ac.uk/,EVONET,301,http://www.birmingham.ac.uk/research/activity/mds/centres/mrc-immune/index.aspx
"Moby Dick, the mobile digital companion",http://wwwspa.cs.utwente.nl/~havinga/mobydick.html,MOBY DICK,timed out,
Ercim digital library,http://www.iei.pi.cnr.it/DELOS/,DELOS,[Errno -2] Name or service not known,
Requirements engineering network of international co-operating research groups,http://www.cs.ucl.ac.uk/research/renoir/,RENOIR,301,http://www0.cs.ucl.ac.uk/research/renoir/
Supporting interactive multimedia on-line services,http://www.iei.pi.cnr.it/SIMOS/,SIMOS,[Errno -2] Name or service not known,
Pagespace,http://www.cs.tu-berlin.de/~pagespc,PAGESPACE,404,
High temperature electronics network 2,http://www.hiten.com,HITEN 2,301,http://hiten.com/
Heterostructure-defined electron waveguides for quantum-based switching applications,http://anders.ftf.lth.se/coop/Qswitch.html,Q-SWITCH,[Errno -2] Name or service not known,
The esprit network of excellence in distributed computing systems architectures,http://www.newcastle.research.ec.org/cabernet/index.html,CABERNET,302,http://boise.namedisplay.com/wp-signup.php?new=www.newcastle.research.ec.org
A novel approach to solid state wavelength laser generation using luminescent polymers,http://www2.tcd.ie/Physics/People/Werner.Blau/LUPO.html,LUPO,timed out,
Development and applications of novel opto-electromechanical systems micro-machined in silicon,http://guernsey.et.tudelft.nl:80/mosis/,MOSIS,timed out,
Dissemination of quality information technology to support the bid to manufacture process,http://www.produtec.de/r&d/disqit,DISQIT,404,
Process modelling techniques research working group,http://www.loria.fr/,PROMOTER-2,200,
Enterprise integration - international consensus,http://www.nist.gov/workshop/iceimt97/,EI-IC,404,
Physics and technology of mesoscopic systems,http://www.imec.be/6/phantoms/phantoms.html,PHANTOMS II,404,
Space variant visual sensor-with colour acquisition,http://www.lira.dist.unige.it/expsetup/svavisca.html,SVAVISCA,404,
Microelectronics and integration in manufacturing,http://www.mandiim.org,MANDIIM,[Errno -2] Name or service not known,
Multimedia action groups planning information for Europe,http://www.magnet.org/magpie.html,MAGPIE,200,
"European network of excellence in computational logic, Compulog net iii",http://www.compulog.org:8080/,CLN,[Errno 111] Connection refused,
Evaluation frameworks for interactive and multimedia in applications,http://www.dcs.gla.ac.uk/mira,MIRA,404,
THE CONNECTED COMMUNITY,http://www.eaqc-wise.net,C2,403,
"Inhabited spaces for community, academy, polity and economy",http://www.nada.kth.se/inscape/,INSCAPE,200,
Production of hybrid macrolides by engineered glycosyltransferases,http://www.bio.cam.ac.uk/~pfl10/hyglide.html,,404,
Common access to immunogenetics data: the integrated immunogenetics database,http://imgt.cnusc.fr:8104,IMGT,[Errno -2] Name or service not known,
PRODUCTION LINE COATER,http://www.kth.se,,200,
MUCOSAL VACCINES FOR RESPIRATORY DISEASES BASED UPON NASAL ADMINISTRATION,http://www.westpharma.com,,301,http://www.westpharma.com/en/Pages/Default.aspx
TRANSECTORIAL AND TRANSREGIONAL IMPLEMENTATION OF SURFACE ENGINEERING,http://www.bcm.servicom.es,SURFENG,[Errno -2] Name or service not known,
MECHANOMAKING ULTRAFINE-GRAINED MATERIALS,http://maidireweb.com/uni/unifi.html,MUM,302,https://www.hugedomains.com/domain_profile.cfm?d=maidireweb&e=com
"INTEGRATED PLANNNING AND MANAGEMENT OF URBAN DRAINAGE, WASTEWATER TREATMENT AND RECEIVING WATER SYSTEMS",http://www.tvp-wastewater.com,,[Errno -2] Name or service not known,
"DESIGN AND MANUFACTURING OF HEELS FOR SHOES, BY COMPUTER",http://www.inescop.es,DITACOR,200,
CONSTRAINT LOGIC FOR OPERATIONAL CONTROL OF WATER SYSTEMS,http://www-iri.upc.es/projects/clocwise,CLOCWISE,404,
APPLICATION FOR THE URBAN POLLUTION MANAGEMENT PROCEDURE TO RIVER QUALITY PROTECTION IN EUROPEAN MEMBER STATES,http://www.aquafin.be,UPM RIVER QUALITY,200,
BLEACH PLANT EFFLUENT TREATMENT VIA A LOW COST EVAPORATOR,http://www.hadwaco.com,,200,
LOW-NOX GASBURNER,http://www.driezler.com,,[Errno -2] Name or service not known,
"Geo-Environmental Dynamics of Pantanal-Chaco, Multitemporal Study and Previsional Modelling,",http://www.dst.unisi.it/pantanal-chaco/project.htm,,timed out,
OPTIMAL CONTROL OF MICROWAVE COMBINATION OVENS FOR FOOD HEATING,http://www.agr.kuleuven.ac.be/aee/amc/research/process/microwav.htm,,404,
Optimisation advanced optical coatings technologies competitive manufacturing,http://www.nmrc.ucc.ie/groups/AMT/projects/opticom.pdf,OPTICOM,404,
Innovative integrated bio-economic models for the management of multi-species and multi-gear fisheries.,http://www.irepa.org/fair561,,404,
HARMONIZATION OF SAFETY CRITERIA FOR MINIMALLY PROCESSED FOODS,http://www.harmony.alma.be,HARMONY,[Errno -2] Name or service not known,
IMPROVING THE QUALITY OF EU WHEATS FOR USE IN THE FOOD INDUSTRY,http://www.lars.bbsrc.ac.uk/cellbiol/seeds/eurowheat.html,,[Errno -2] Name or service not known,
An open service model for global information brokerage and distribution,http://www.osm.net,OSM,200,
Consensus and Verification in ACTS Results Exploitation,http://www.etic.be/convair/doc.htm,CONVAIR,404,
Techno-economic Evaluation and Sectorial User Requirements Analysis,http://www.biba.uni-bremen.de/projects/teesura/,TEESURA,403,
Architecture for information brokerage service,http://www.berkom.de/ABS/,ABS,[Errno -2] Name or service not known,
Inter-trial testbed of mobile applications for satellite communications,http://www.uni-bremen.de/~atimm/tomas.html,TOMAS,404,
Generic application chains,http://atwww.hhi.de/usinacts,USINACTS,[Errno -2] Name or service not known,
A EUROPEAN TELEMATIC DEMONSTRATION CENTRE,http://gina.iihe.ac.be/Eurodemo/,EURODEMO,[Errno -2] Name or service not known,
"PAN EUROPEAN NETWORK OF ENVIRONMENTAL LEGISLATION OBSERVATORIES FOR PLANNING, EDUCATION AND RESEARCH",http://www.penelope.gr/ or http://www.penelope.uni-bremen.de/ or http://www-penelope.et.ic.ac.uk or http://www.penelope.uab.es/ or http://www-penelope.drec.unilim.fr/ or http://www.ipa.it/penelope/,PENELOPE,301,http://penelope.gr/
STUDENTS ACROSS EUROPE LANGUAGE NETWORK,http://www.ncl.ac.uk/Schools/zdclou/eindex.html,SAELN,404,
ON-LINE SIMULATIONS IN THE WEB,http://oyt.oulu.fi/tsimulab,SIMULAB,[Errno -5] No address associated with hostname,
TELE TEACHING AND TRAINING FOR MANAGEMENT OF SMES,http://www.teleman.org,TELEMAN,403,
TELEMATICS ENHANCED LANGUAGE LEARNING & TUTORING SYSTEMS,http://www.uni-tuebingen.de/telos,TELOS,301,http://projects.ael.uni-tuebingen.de/telos/index.html
TELEMATICS FOR EDUCATION AND TRAINING IN JAPAN,http://www.cobweb.nl/bridgewater,TETJAPAN,404,
TELEMATICS FOR EDUCATION AND TRAINING - INTERMEDIATE SUPPORT STRUCTURE,http://www.echo.lu/telematics/education/en,TETRISS,301,http://www.echo.lu/telematics/education/en/
SUPPORT ACTION TO FACILITATE THE USE OF VIDEOCONFERENCING IN EDUCATION,http://www.savie.com,XSAVIE,[Errno 111] Connection refused,
DYNAMIC AWARENESS RAISING PROCESS REGARDING TELEMATICS IN THE FRAMEWORK OF NATURA,http://www.wau.nl/natura/,DART,[Errno -2] Name or service not known,
Concerted Action on Management Information for Libraries in Europe,http://www.dmu.ac.uk/~camile/,CAMILE,301,http://www.dmu.ac.uk/home.aspx
Cooperative Archive of Serials and Articles,http://www.casa.issn.org:1999/,CASA,[Errno -2] Name or service not known,
Harmonised Access & Retrieval for Music-Oriented Networked Information,http://www.svb.nl/project/harmonica/harmonica.htm,HARMONICA,200,
IMPLEMENTATION MAINTENANCE AND PROMOTION OF THE EDILIBE/EDITEUR STANDARDS SETS,http://www.editeur.org/,IMPRESS,200,
Total Library Management Concept,http://tolimac.ulb.ac.be,TOLIMAC,[Errno -2] Name or service not known,
COMPREHENSIVE HOSPITAL & AMBULATORY CARE INFORMATION NETWORKING FOR EPISODE LINKAGE,http://www.hiscom.nl/chaine/index1.htm,CHAINE,404,
HEALTH CARE RESOURCE MANAGEMENT,http://wisecare.dn.uoa.gr/ or http://www.videomuseum.fr/magnt-e/magntc.htm,HC-REMA,[Errno -2] Name or service not known,
WORKFLOW INFORMATION SYSTEMS FOR EUROPEAN NURSING CARE,http://wisecare.dn.uoa.gr/,WISECARE,[Errno -2] Name or service not known,
"MULTILINGUAL INDEXING, NAVIGATION AND EDITING EXTENSIONS FOR THE WORLD WIDE WEB",http://mulinex.dfki.de/,MULINEX,200,
EXPERT ADVISORY GROUP ON LANGUAGE ENGINEERING STANDARDS,http://www.ilc.pi.cnr.it/EAGLES/home.html,EAGLES,[Errno -2] Name or service not known,
